,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
AIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARG,0,2345674022,279547428,152739,1002340,148001,5020891,947193,6167563,195209073,252030,1004907,8831345,103614,232256,39100,1605831,823360,643644,9564585,3686992,837011,4561144,29957755,4908140,467223,8173944,54995189,931011983
ATF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATG,0,0,344731,0,0,0,89713,0,0,0,0,0,0,0,0,43240,67,0,0,0,13442,0,0,0,829,0,20058082,25075,9593
BEL,3988145,6416889,66098213,20889179,7740701,1927036,37635135,11686835,20297047,375690,332544,4646425,11473948,2407403,48141589,9492955,2374091,1592,4090946,25718570,19207460,5536682,30746331,102604999,20677346,1306778,50787000,108403269,1248716086
BGD,800,0,4803707,590618,30720916,207343,75756640,345569697,59167124,3525637,563409,2182115,16709686,54824,2521775,3259,13124556,309316,321348,3812703,22195259,1173638,10133952,2016876,23163151,3181950,783461496,141187747,339216067
BHS,0,0,0,43897,56344,0,0,0,0,0,1115,4830,0,0,0,1656995,0,0,4422,260857,85434,7600,0,3752,4294,0,91794126,5938,814380
BIH,0,0,480444,0,0,15035,144684,0,0,0,0,608434,4475,10636,0,470634,0,0,6,981892,364,235014,0,0,1203059,0,0,733722,920125
BLR,0,126073429,1086454,6563,632035,0,2008953,1328170,82197,525000,225,618798,239351,62171,270583,13120250,169452,29419,53568,7164074,703535,1391,3634002,9126102,137881,128441,143135,3408726,61809803
BTN,0,0,0,0,0,72446,0,0,0,0,0,0,0,0,0,0,45568,0,12600,38043,589,0,0,0,0,0,93285,0,55831
CHL,22586504,774722215,25912584,34600,653482,269301,18747428,3773209,3958970,42095,6557817,4092914,6649389,79816,15035181,122747872,11004038,1816864,8575129,47416388,31508844,8349771,15331860,300225,6543440,3921753,281507338,81440040,253254183
CIV,0,0,81339989,0,0,17509,5207501,124390,9412596,28514000,438825,0,56950,964,504804,55793520,4851110,44369,429421,13205673,5773689,1363227,39700,0,577884,185120581,1017776,23076527,25332140
COG,0,0,3418729,0,0,0,1700086,0,465501,0,0,2912,0,142590,0,1218235,0,0,130344,2090687,2965496,20050,5871963,0,1068334,8811141,1227846,678595,3808894
COK,0,0,54605,0,0,0,0,0,0,116469,0,0,0,0,0,0,0,0,0,0,5670,0,0,924,6796,0,853510,448,0
DEU,4118,5419279,413277161,7765781,241813853,9962063,83858046,136518512,98852830,1760650,2635482,76719633,70045446,8013985,54544829,27724356,9949312,11633206,20972449,192297628,74206589,13541086,192686872,6011037,28010611,1398885,74851527,215616873,2397242173
DMA,0,0,0,0,0,0,24197,1658,0,0,0,0,0,0,0,48098,0,0,0,16374,7888,0,0,0,6413,0,440016,75949,495
DNK,2961,1391461391,7290770,90611,6739214,2815856,4639290,1707370,602270,13705,6283,5644827,15256015,1376451,304635,13371782,1677906,1520740,3493390,14810720,3570529,1176417,31242054,345757,2018179,90088,47795999,11479775,130114034
ECU,0,0,3114405,0,124377,30680,14245721,4850,581753,0,38626,52093,3297629,11980,98330,2304690,4781015,420640,831132,889580,4284181,375023,6807700,0,948631,1276,76430984,26257015,77177891
EGY,0,0,16296888,1202283,1110774,165241,13691999,1811602,14992864,76160000,1008160,120642737,6559641,4062,1498499,1495944,7968602,211233,430319,8847594,4438129,894610,5966392,7246271,13331992,928159,5774787,68499158,365774569
ERI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110668,0,18011,0,0,0,0,294850,0,0,125,289306091,92257,2102271,401653
FLK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FSM,0,0,1835548,0,0,0,0,0,0,404527,0,4684,0,0,0,227406,0,0,887221,54172,124654,288131,1348,0,109521,8746,248084,75664,0
GIN,0,0,449827,0,390,0,2605917,90398,11791542,22296000,435535,1571,0,0,36767,649422,5132891,222757,1154962,8923245,19731594,79111,0,0,7233356,327296,2233699,7647076,3538474
IMY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IND,10431,0,1399072,10368,2091736,3182144,47687412,20999520,11868530,1472438,10481292,15872717,34790421,488255,11917091,1290150,7521014,1720693,673321,25321899,25823053,5837020,29853654,6284398,118619370,11113809,388875307,653095782,8438625268
IOT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IRL,1000,136449,10036749,3612681,2350,33849,941071,574061,153274,0,82276,3151072,1952178,124557,137964,12321449,461906,72194,2608953,4197081,3749633,1437500,9219911,9772,1564138,3070,262006,2003870,362917005
ISL,0,163493,1617958,0,205058,0,52160,97824,77328,0,0,0,2220,0,4315950,42016,7351,11525,213021,18540,107709,6342,77512,0,47,0,310769,1320568,348569
ISR,534,0,10684580,40065,311323,196254,16536012,15024557,17730658,116328,637356,18467330,3440180,622809,838577,67201080,13232834,1771138,7494400,40545178,8465507,5159183,9926464,294630,1582654,5265,6234646,35927665,499675384
JOR,2700,59500,1147167,185651,455689,270264,521121,2784984,5100638,126403,117161,32284558,521149,23062,787436,5987630,4934242,631782,487713,33463666,1084293,12299327,3508385,5812772,1589984,6171,153364,17523219,109501389
KNA,0,0,0,0,0,0,12859,8626,0,0,0,0,0,0,0,0,0,0,0,0,25150,0,0,0,15,0,278797,3,18
LBN,0,0,170526,53484,1440,5330,11058306,3668453,2692037,17227946,93147,20357450,138887,116469,226156,2138348,714776,32862,611835,15564122,615083,4248178,447945,0,57182,5708,691348,4418426,26401120
LBY,0,0,1360502,83250,0,0,281823,552652,12362179,15579734,13475,10340382,43341,0,0,1091879,77662,33420,547473,2749722,22672,630454,0,0,129217,2000,499570,1319594,5150543
LCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15881,0,0,0,0,23348,0,0,0,0,820,26392,6160
MDA,0,0,352035,0,0,0,584605,221627,76470,240000,0,3763,51963,0,2898,1911702,1656,0,8050,614836,144909,10005714,34300,267774,1304,0,42353,53917,1468091
MDV,0,12538,131624,0,0,39651,1969377,162379,668878,0,0,9853,9500,6072,1780,878591,9344,0,328658,317279,139895,0,0,0,93900,1200,213826,113891,227776
MEX,75622,297811358,28969819,751262,1020227,696796,11770748,10142813,47976837,5,1877943,38105615,88476046,3939638,1745428,451532260,22752074,4651100,4713109,32560732,17657987,2798067,21233892,896512,11572226,2475994,375740954,193613499,995413812
NAM,0,8220764,1864326,0,129363,0,0,0,0,0,0,111413,0,0,12760,1262370,18900,0,9169,440249,76150,3153496,3775690,3143652,63283,440294,0,6120006,1496641
NCL,0,0,522367,0,0,0,290185,0,58464,0,0,86776,0,198,0,147269,0,2879,283509,555878,90416,30720,0,0,1180521,240727461,243675,1825047,112462
NOR,0,0,21955362,120,6499783,331027,3482680,4722625,132652,27935,1847455,929891,1732100,92415,852253,401782,1009349,49841,2958997,14167696,5366779,1084031,5143348,718,1145465,2434,34517566,15442985,34244380
NPL,300,0,16550,0,19100,1238,6493828,51764157,1409525,510366,457787,427187,168679,0,72161,40550,935400,70312,547484,1993783,1116904,93580,909957,0,72926,4200,209494,3436580,10169498
NRU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6493,0,6968,0,0
PAK,200,586755,140243723,9076,578755,277553,88270074,25569184,92900726,32074654,1912002,13160233,18389921,28066,2121187,47048,10794199,1807013,504103,19712407,14050220,978880,21082912,3311174,9348159,822408,175641203,106663838,865748900
PCN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRK,0,1097925,4692457,1022892,175063,3070,1421828,8265907,1218111,950232,36611515,296797,13079,152388,79877162,2947537,32490444,976684,2014853,322697,5186558,4483092,2309706,39259186,398966,37080,5798558,8374429,17364703
PSE,0,0,0,0,0,0,0,0,627125,0,0,0,15300,0,0,93560,881081,168263,400365,2313560,591257,0,0,0,0,0,0,25734,242049
QAT,0,0,1009706,85460,482,1355244,12691022,5353673,9423946,24888,15763,1012704,21225,27915,54640,1049094,1257710,631150,275891,4459060,753055,953444,76146,1373,1351342,24649473,43714203,48425532,12747279
ROU,0,0,2318845,3177306,11314742,300,2615135,9720820,5212735,4777500,0,4040562,3277779,248977,2754963,418505,435586,3058,368192,7979081,2544080,2296258,1629248,312912,805659,9271,368744,8324242,55666809
SDN,0,0,173125,0,29925,13860,435798,21747,9962726,8238800,7250,2565091,220710,147461,51547696,0,3542719,454949,394808,12693914,9564883,5520,34388,0,648694,1261467,594434,11938672,18961404
SLB,0,0,5343425,0,254095,0,12800,0,0,8783483,0,1048,0,0,0,2829031,0,0,3123601,214360,818086,131661,148,0,2734138,106233,350327,50138,0
SLE,0,0,218400,0,0,0,117382,0,517530,57928000,0,0,0,0,0,14278,404510,11720,563534,9774198,15562545,63119,0,660,3934,34895192,3948478,443408,1272979
SLV,0,0,433626,0,50693,26633,3022121,0,750,0,94326,0,94462,1958,24200,1182832,1385509,557549,213224,1600333,1549213,118906,329489,0,101116,0,952988,6502770,23429496
SVN,0,0,803436,998583,3952378,26824,6457194,422175,3859806,0,86011,10100123,886365,79056,336653,0,44602,39170,167882,766531,904227,99068,939562,483471,20845211,5824783,285584,18800851,300400455
SWZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208348,376,0,208815,4335,52843,0,0,0,0,1982622,117600,8918517
TKM,0,0,0,0,781749,0,0,0,307924,0,0,412988,4798,1193477,0,53082,0,0,33856,107266,14288,0,0,0,267055,0,91211,1451296,1627361
TON,0,0,169650,0,0,0,33900,0,0,45858,0,8509,0,0,0,807291,0,0,198473,158652,165415,0,3583,0,9929,0,0,120,0
TUV,0,0,0,0,0,0,0,0,0,80825,0,0,0,0,0,137594,0,0,5488,0,19912,0,0,4569,0,0,8195001,0,0
TZA,0,0,1907098,0,113898,1933,574651,12618,435773,278200,2990,279501,495103,615533,11920,221791,2871227,405055,242624,4845459,4627239,151071,972996,5780796,1824025,66473,74342357,59666609,21512593
UGA,0,0,129330,0,9366740,602173,1522808,2500,6280064,73357,11500,86825,2088,0,298757,161754,129099,258,155,23222,2395050,22842,0,0,107628,22475,1627713,678121,25453629
UZB,0,0,48077,0,2332617,65961,3202153,32993478,40630883,0,0,24171966,2358355,50418,390782,556906,1212498,625253,740773,1699481,3625733,186004,780804,30508,4039288,215800,4731085,19172710,47904959
VCT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5378,0,16503,0,0,0,0,0,473253,0,0
VEN,0,0,1040880,0,5778,0,1035623,82287,171876,0,4232,34647,130600,0,4260,9706146,1302195,25759,2996886,1184598,4727167,208319,19382593,0,546356,90961583,3960153,5087972,23186138
WSM,0,0,15506589,0,0,0,109940,0,12640,1423169,0,0,0,0,2283,9109726,17422,0,1034279,443154,637014,234471,0,0,108640,0,0,334,79280
ZAF,426674,43227059,26172918,7126582,60657341,670134,19983345,1895585,19119064,477145,1307939,3142074,4422912,64578,2060146,34970443,19461197,1006419,7375246,54475360,16381406,7469541,7793353,1691826,15795844,161089,38445801,138426448,418029989
ASM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HRV,0,0,2215024,511362,1603865,1518,2420558,1802645,1042610,199650,0,1996624,495787,70941,319905,8152,1052877,425689,1880,3856140,419729,109427,1421314,40790,1304453,1835386,4781963,2955685,44200048
MNE,0,0,0,227,0,0,193530,28981,75372,0,0,217866,0,0,944,121530,253867,34857,1104,89039,11165,1303265,11901,688565,133857,54389928,358974,766331,3044482
THA,141518,261710,897602890,18837370,94201835,15495020,584624327,906724329,95205428,2198281,64551164,79091180,34407664,1802946,16618798,467125783,110082575,15473331,60132274,293116573,397932448,19732917,46036312,1379929,86114912,19141453,325713634,714489411,1163129821
VNM,7101449,316124,278055273,103998,211994833,47948769,1512229987,1965272410,341245168,16957235,43292303,155282978,21528304,1898240,10304226,43411847,97585809,3856380,43878320,241780357,89028616,30242434,249527599,30105570,108112525,41372848,991849964,679870035,1329790433
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SJM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GUY,1125334,0,4764332,0,0,0,3187299,40158,7743,0,2143,2240,46750,0,0,629509,89672,0,123249,1107911,160081,19730,0,0,60095,2334491,12012,558663,482310
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFG,0,3796099,0,0,3777,0,86772,2611563,12601666,2264680,99900,1928969,9238,15790,55224,74050,0,15160,5,477984,1107602,0,21420,0,52636,51024,119440,89099,2187713
MUS,0,0,19536567,101399,96321,25853,2743279,117079,231152,0,98973,68645,205652,56705,45377,5518317,798253,25600,1278630,4961175,1951375,2106455,471841,300500,305040,0,684095,2867316,1744503
JPN,1232047,1803685,1722864817,98218476,195819279,116897473,1186480798,117649984,178227808,62301798,32306662,319459768,184771829,19022254,34343073,2517646074,16066430,19311552,221391034,1615713387,226034947,49944848,575439530,11318448,447923544,983946752,860512919,1916702819,3044251098
STP,0,0,0,0,0,0,154284,0,86,0,15,541,0,0,1457,0,0,0,410,21540,3189,151,0,0,490,0,905952,722,0
GAB,0,0,5425133,0,0,0,1743001,0,852160,0,0,0,0,0,0,6832239,202002,40068,34433,896658,202341,102048,0,0,43159,887576339,292625,235722,927889
CCK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CZE,25153,1610246,1721085,109912,11839899,9955,930157,2454577,1005396,83592,47878,2646444,2102924,593021,2146151,732909,771198,1208762,246918,6487392,15082002,149113,12197788,40458,400148,2,116818,3295078,61523910
TUN,0,0,1574753,40994,529019,32782,14220146,1797908,6583771,0,0,3900286,274984,45550,465707,31070,336390,73250,13510,2772857,72441,419388,1247739,1282812,82179,1137,184938,4646025,26111553
COL,0,0,9288689,20646,358984,60970,28219058,120333,459271,0,204781,387333,2470755,232011,360757,21993922,9042223,1713812,932574,5502423,8055109,227395,10113455,615498,6841066,1125806,10286933,60211250,359007929
MMR,133898,12531,34767500,970054,27736163,11023724,35432793,246289135,115207911,364748657,17208524,13272170,1344980,1419,1661153,8044161,8498787,180977,15310457,27905956,120591717,73401286,11557847,7611920,26687124,631017,299951068,56737226,188425637
LAO,0,0,0,2812,0,45267,6679381,3228825,17977,96974677,11667124,12827,2359485,0,2605,304590,56208,0,388416,3263960,298618,4550787,0,3977933,4802985,194616,11441211,8061690,6627791
SGP,235536,0,55318202,14005143,242899,8710119,201416322,72972379,27512527,9904092,17305848,41427639,7162485,1999402,93497290,168438674,24738250,7215613,38661471,62072650,99832127,42007982,18680387,30488849,14850387,1395236,5159575372,100143350,749745911
TUR,0,653200,6369255,1045173,3233619,3384189,28524993,30605584,17148242,9798414,439367,154219329,15336103,1097618,1750172,11447378,6702385,5871735,5290215,27221264,6352879,25855863,10762141,5739831,36189190,1998806,33080557,172224269,906521803
MLT,0,0,2402689,0,0,0,35896,0,45692,0,0,85576,3376,2630,18935,1328708,9546,0,343990,735414,143571,2078831,77643,11440,16193,0,254743807,1780794,33773415
RUS,154206,853246,169824171,90537,764927,884243,292606493,87348921,74630359,3893596,622953,47010366,67065008,2196780,3706209,129080505,29268136,3267900,26831437,324299150,62489782,15344438,48126593,2462347,56461633,2964995,114216242,239609726,1395735228
ZWE,0,0,0,0,0,47602,16556,11000038,1168,0,201744,97811,12450,0,826,116459,15200,2066,982,62605,38623,573,0,85,413521,152520595,240792,16071391,3769400
LTU,0,1807717,5856204,937260,252515,10680,2637292,7346332,1128422,92299315,553136,2523029,1173680,220919,302444,4717035,1827929,453987,143825,11488197,3802606,858788,7739417,2128339,367372,0,184284,8915182,94099512
FIN,12828,66516715,839701,87728873,233,16400,691875,8600,103742,20245,7968,1193666,130148,18330,102013,270541,1022352,10656,1068276,2291940,2274433,1353958,11962614,13230,1644297,116974,8555961,2743837,45131434
MOZ,0,0,3569701,0,48295,0,2797480,0,1252115,14080651,136765,111479135,15903,0,0,1589139,418609,0,73382,2949221,3062348,4407110,135247,114431,594704,271001925,65422836,20493561,13446358
NIC,0,0,0,0,0,68,4074300,0,559042,0,0,0,41128,0,7088027,122695,720940,135859,44525,278826,154177,56849,27897,27334,84436,0,1588609,2966810,4750019
LBR,0,0,974815,0,0,0,340705,0,279909,6603000,0,0,0,0,0,487197,1304214,102031,154390,1696824,14634704,1278056,0,16450,1545,71183811,1151971774,895600,746329
OMN,0,0,304397,1922155,5544,157016,13653898,4629511,15720082,66113,49310,101892,6910,70410,605795,683108,2960619,340216,125250,11328406,4527286,1006514,154315,0,598313,7238059,31594086,7023310,112551437
RWA,0,0,32489464,0,7413,30,0,125958,2060361,0,1680,0,0,0,2082,14474436,0,0,8237,1477173,106382,62793,6209,0,15330,35247137,6,192707,102004
MSR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
KOR,5061528,119308,1291855883,21338364,35725178,69172731,525425209,31264228,54716161,165476339,38146951,361141613,71593842,10409271,55265227,402723514,91267045,30241343,153295926,637639271,202720554,161487978,348825725,5402552,374303190,163486857,1512407389,3517724595,3216913417
ANT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FRA,21493,2031457,181863629,3676876,12153076,1428199,46544128,10689369,25309764,1055761,447271,18229837,31202699,2543726,6257948,10179282,4663406,48208,15852883,40409537,23595860,26344812,17001585,5576150,16579474,1843014,51775173,96109506,795506729
MNP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRB,0,6006009,907790,26996,559055,81,201867,235638,459664,0,13001,627695,337350,19500,408562,1927190,437468,34349,16100,848037,558692,2408511,130918,63671,2067216,14046849,93183,1071742,27286477
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GUM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DZA,0,0,7222907,125293,259677,14182,1922623,6911524,53756974,0,660,3020255,1363967,8969,1738565,44451244,1394205,174095,0,12103672,7908390,70138,232220,850452,725687,40148,1362839,10214388,52926686
URY,20757475,928971983,8435276,588195,35640,11011,1401579,196986,556308,21152,4150,309435,566659,5480,330064,408483,238640,50275,933263,2119163,636391,2027543,229635,2123457,1045493,4913,415942,3816581,106360120
PAN,0,13766,2411556,16617,0,24494,8627119,1158092,361991,229358,96040,164728,5895,11475,104657,9770083,977236,146259,2268152,15660707,3290936,2913796,2061356,23378893,208540,398978781,1310866906,4332887,13337454
TGO,0,0,81000,36050,1664889,0,1151342,3935998,76913958,229679,0,143255496,2336,0,83390,488940,7121006,249413,2877419,33702156,7948949,3288359,0,0,271492,0,1436337,5626016,3799996
ESP,7595,3286279501,240035966,15896064,66381879,5663763,31061699,7415492,142275759,1785613,462615,85849312,99225662,6429374,169438665,122033603,3323048,832212,6121559,86957984,11522066,21036992,23089996,128393,22645751,508857,16913704,122849584,1149671179
COD,49649,0,13764167,0,0,0,5248290,6903,21496,21097500,48044,28691,338816,401,2170,9643724,1123359,73498,296939,17294540,6112392,822773,0,0,646701,11489,1586361,25833351,29222268
GNB,0,0,0,0,0,0,0,0,59400,17207500,0,0,0,0,0,0,0,0,13593,85743,256053,0,0,0,0,0,102404,0,19960
MAC,56561703,63057440,49509592,15969058,413,3979020,22084816,10680324,1992139,1381134,2488956,3763657,232164,2465809,2219186,12414482,1931426,109338,31319409,2159836,6508048,75390526,13078,8945676,39117593,5079245,530708744,3714557,11628536
